Node1	Node2	Pvalue	Cor	CorrB
Otu00003	Otu00001	0.0099	0.6293	Positive
Otu00004	Otu00001	0.0099	0.6722	Positive
Otu00005	Otu00001	0.0099	0.9576	Positive
Otu00010	Otu00001	0.0099	0.9532	Positive
Otu00012	Otu00001	0.0099	0.9501	Positive
Otu00013	Otu00001	0.0099	0.9549	Positive
Otu00022	Otu00001	0.0099	0.9432	Positive
Otu00035	Otu00001	0.0099	0.7386	Positive
Otu00039	Otu00001	0.0099	0.9502	Positive
Otu00044	Otu00001	0.0099	0.9416	Positive
Otu00059	Otu00001	0.0099	0.7701	Positive
Otu00079	Otu00001	0.0099	0.9193	Positive
Otu00110	Otu00001	0.0099	0.9105	Positive
Otu00116	Otu00001	0.0099	0.912	Positive
Otu00120	Otu00001	0.0099	0.8815	Positive
Otu00007	Otu00002	0.0099	0.9353	Positive
Otu00008	Otu00002	0.0099	0.9492	Positive
Otu00009	Otu00002	0.0099	0.945	Positive
Otu00016	Otu00002	0.0099	0.9396	Positive
Otu00018	Otu00002	0.0099	0.8284	Positive
Otu00020	Otu00002	0.0099	0.9354	Positive
Otu00056	Otu00002	0.0099	0.9081	Positive
Otu00057	Otu00002	0.0099	0.9267	Positive
Otu00062	Otu00002	0.0099	0.926	Positive
Otu00063	Otu00002	0.0099	0.9316	Positive
Otu00075	Otu00002	0.0099	0.926	Positive
Otu00080	Otu00002	0.0099	0.9181	Positive
Otu00087	Otu00002	0.0099	0.8378	Positive
Otu00096	Otu00002	0.0099	0.9146	Positive
Otu00098	Otu00002	0.0099	0.9196	Positive
Otu00099	Otu00002	0.0099	0.9085	Positive
Otu00007	Otu00003	0.0099	0.7095	Positive
Otu00010	Otu00003	0.0099	0.6172	Positive
Otu00013	Otu00003	0.0099	0.6436	Positive
Otu00016	Otu00003	0.0099	0.7094	Positive
Otu00018	Otu00003	0.0099	0.907	Positive
Otu00020	Otu00003	0.0099	0.716	Positive
Otu00021	Otu00003	0.0099	-0.7333	Negative
Otu00031	Otu00003	0.0099	-0.6675	Negative
Otu00032	Otu00003	0.0099	-0.7624	Negative
Otu00033	Otu00003	0.0099	-0.7253	Negative
Otu00034	Otu00003	0.0099	0.8233	Positive
Otu00035	Otu00003	0.0099	0.8354	Positive
Otu00036	Otu00003	0.0099	-0.6799	Negative
Otu00038	Otu00003	0.0099	-0.7819	Negative
Otu00043	Otu00003	0.0099	-0.6593	Negative
Otu00047	Otu00003	0.0099	-0.6868	Negative
Otu00049	Otu00003	0.0099	-0.7114	Negative
Otu00050	Otu00003	0.0099	-0.6745	Negative
Otu00054	Otu00003	0.0099	-0.7236	Negative
Otu00055	Otu00003	0.0099	-0.6909	Negative
Otu00056	Otu00003	0.0099	0.7395	Positive
Otu00059	Otu00003	0.0099	0.851	Positive
Otu00065	Otu00003	0.0099	-0.6443	Negative
Otu00068	Otu00003	0.0099	-0.6689	Negative
Otu00072	Otu00003	0.0099	-0.6857	Negative
Otu00074	Otu00003	0.0099	-0.6257	Negative
Otu00075	Otu00003	0.0099	0.7354	Positive
Otu00078	Otu00003	0.0099	-0.661	Negative
Otu00080	Otu00003	0.0099	0.7357	Positive
Otu00095	Otu00003	0.0099	-0.5381	Negative
Otu00096	Otu00003	0.0099	0.747	Positive
Otu00098	Otu00003	0.0099	0.7338	Positive
Otu00099	Otu00003	0.0099	0.7406	Positive
Otu00109	Otu00003	0.0099	-0.6275	Negative
Otu00116	Otu00003	0.0099	0.6794	Positive
Otu00118	Otu00003	0.0099	-0.5988	Negative
Otu00120	Otu00003	0.0099	0.6531	Positive
Otu00122	Otu00003	0.0099	-0.5828	Negative
Otu00010	Otu00004	0.0099	0.6896	Positive
Otu00015	Otu00004	0.0099	0.7886	Positive
Otu00017	Otu00004	0.0099	0.946	Positive
Otu00025	Otu00004	0.0099	0.9281	Positive
Otu00028	Otu00004	0.0099	-0.5212	Negative
Otu00039	Otu00004	0.0099	0.6668	Positive
Otu00040	Otu00004	0.0099	0.7695	Positive
Otu00066	Otu00004	0.0099	0.8711	Positive
Otu00079	Otu00004	0.0099	0.7051	Positive
Otu00083	Otu00004	0.0099	0.7051	Positive
Otu00085	Otu00004	0.0099	-0.6705	Negative
Otu00110	Otu00004	0.0099	0.6837	Positive
Otu00116	Otu00004	0.0099	0.7226	Positive
Otu00010	Otu00005	0.0099	0.9417	Positive
Otu00012	Otu00005	0.0099	0.9466	Positive
Otu00013	Otu00005	0.0099	0.9391	Positive
Otu00019	Otu00005	0.0099	-0.6638	Negative
Otu00022	Otu00005	0.0099	0.9358	Positive
Otu00039	Otu00005	0.0099	0.9426	Positive
Otu00044	Otu00005	0.0099	0.9357	Positive
Otu00079	Otu00005	0.0099	0.9193	Positive
Otu00110	Otu00005	0.0099	0.9034	Positive
Otu00116	Otu00005	0.0099	0.9089	Positive
Otu00120	Otu00005	0.0099	0.8896	Positive
Otu00011	Otu00006	0.0099	0.8719	Positive
Otu00014	Otu00006	0.0099	0.8396	Positive
Otu00015	Otu00006	0.0099	0.9151	Positive
Otu00025	Otu00006	0.0099	0.7951	Positive
Otu00027	Otu00006	0.0099	0.8911	Positive
Otu00040	Otu00006	0.0099	0.9122	Positive
Otu00066	Otu00006	0.0099	0.8583	Positive
Otu00083	Otu00006	0.0099	0.9066	Positive
Otu00008	Otu00007	0.0099	0.9438	Positive
Otu00009	Otu00007	0.0099	0.939	Positive
Otu00016	Otu00007	0.0099	0.9341	Positive
Otu00018	Otu00007	0.0099	0.8761	Positive
Otu00020	Otu00007	0.0099	0.9336	Positive
Otu00056	Otu00007	0.0099	0.9234	Positive
Otu00057	Otu00007	0.0099	0.9291	Positive
Otu00062	Otu00007	0.0099	0.9277	Positive
Otu00063	Otu00007	0.0099	0.9363	Positive
Otu00075	Otu00007	0.0099	0.9267	Positive
Otu00080	Otu00007	0.0099	0.9253	Positive
Otu00087	Otu00007	0.0099	0.8684	Positive
Otu00096	Otu00007	0.0099	0.9124	Positive
Otu00098	Otu00007	0.0099	0.9155	Positive
Otu00099	Otu00007	0.0099	0.9148	Positive
Otu00009	Otu00008	0.0099	0.9489	Positive
Otu00016	Otu00008	0.0099	0.9384	Positive
Otu00018	Otu00008	0.0099	0.8552	Positive
Otu00020	Otu00008	0.0099	0.9491	Positive
Otu00056	Otu00008	0.0099	0.9267	Positive
Otu00057	Otu00008	0.0099	0.9221	Positive
Otu00062	Otu00008	0.0099	0.937	Positive
Otu00063	Otu00008	0.0099	0.9279	Positive
Otu00075	Otu00008	0.0099	0.9235	Positive
Otu00080	Otu00008	0.0099	0.9239	Positive
Otu00087	Otu00008	0.0099	0.8785	Positive
Otu00096	Otu00008	0.0099	0.9212	Positive
Otu00098	Otu00008	0.0099	0.9124	Positive
Otu00099	Otu00008	0.0099	0.9221	Positive
Otu00016	Otu00009	0.0099	0.9349	Positive
Otu00018	Otu00009	0.0099	0.8599	Positive
Otu00020	Otu00009	0.0099	0.9485	Positive
Otu00056	Otu00009	0.0099	0.9149	Positive
Otu00057	Otu00009	0.0099	0.9267	Positive
Otu00061	Otu00009	0.0099	-0.5134	Negative
Otu00062	Otu00009	0.0099	0.9225	Positive
Otu00063	Otu00009	0.0099	0.9347	Positive
Otu00075	Otu00009	0.0099	0.9152	Positive
Otu00080	Otu00009	0.0099	0.9214	Positive
Otu00087	Otu00009	0.0099	0.869	Positive
Otu00096	Otu00009	0.0099	0.9086	Positive
Otu00098	Otu00009	0.0099	0.9087	Positive
Otu00099	Otu00009	0.0099	0.9187	Positive
Otu00012	Otu00010	0.0099	0.9417	Positive
Otu00013	Otu00010	0.0099	0.9377	Positive
Otu00022	Otu00010	0.0099	0.9366	Positive
Otu00024	Otu00010	0.0099	-0.5447	Negative
Otu00034	Otu00010	0.0099	0.7859	Positive
Otu00039	Otu00010	0.0099	0.9301	Positive
Otu00044	Otu00010	0.0099	0.9256	Positive
Otu00059	Otu00010	0.0099	0.7589	Positive
Otu00079	Otu00010	0.0099	0.9169	Positive
Otu00110	Otu00010	0.0099	0.916	Positive
Otu00116	Otu00010	0.0099	0.9122	Positive
Otu00120	Otu00010	0.0099	0.879	Positive
Otu00015	Otu00011	0.0099	0.8647	Positive
Otu00025	Otu00011	0.0099	0.7545	Positive
Otu00040	Otu00011	0.0099	0.8612	Positive
Otu00066	Otu00011	0.0099	0.8459	Positive
Otu00083	Otu00011	0.0099	0.8692	Positive
Otu00013	Otu00012	0.0099	0.9256	Positive
Otu00022	Otu00012	0.0099	0.9315	Positive
Otu00039	Otu00012	0.0099	0.9235	Positive
Otu00044	Otu00012	0.0099	0.9112	Positive
Otu00079	Otu00012	0.0099	0.9067	Positive
Otu00110	Otu00012	0.0099	0.8974	Positive
Otu00116	Otu00012	0.0099	0.891	Positive
Otu00120	Otu00012	0.0099	0.8676	Positive
Otu00019	Otu00013	0.0099	-0.6872	Negative
Otu00022	Otu00013	0.0099	0.9281	Positive
Otu00034	Otu00013	0.0099	0.7843	Positive
Otu00035	Otu00013	0.0099	0.7321	Positive
Otu00039	Otu00013	0.0099	0.9271	Positive
Otu00042	Otu00013	0.0099	-0.5578	Negative
Otu00044	Otu00013	0.0099	0.9325	Positive
Otu00059	Otu00013	0.0099	0.7607	Positive
Otu00079	Otu00013	0.0099	0.9144	Positive
Otu00110	Otu00013	0.0099	0.8988	Positive
Otu00116	Otu00013	0.0099	0.8956	Positive
Otu00120	Otu00013	0.0099	0.888	Positive
Otu00015	Otu00014	0.0099	0.7656	Positive
Otu00027	Otu00014	0.0099	0.8992	Positive
Otu00040	Otu00014	0.0099	0.7855	Positive
Otu00083	Otu00014	0.0099	0.7718	Positive
Otu00017	Otu00015	0.0099	0.7475	Positive
Otu00025	Otu00015	0.0099	0.8767	Positive
Otu00027	Otu00015	0.0099	0.8546	Positive
Otu00040	Otu00015	0.0099	0.9327	Positive
Otu00066	Otu00015	0.0099	0.914	Positive
Otu00083	Otu00015	0.0099	0.9117	Positive
Otu00018	Otu00016	0.0099	0.8659	Positive
Otu00020	Otu00016	0.0099	0.9417	Positive
Otu00037	Otu00016	0.0099	-0.5419	Negative
Otu00041	Otu00016	0.0099	-0.5204	Negative
Otu00056	Otu00016	0.0099	0.9106	Positive
Otu00057	Otu00016	0.0099	0.9172	Positive
Otu00062	Otu00016	0.0099	0.9306	Positive
Otu00075	Otu00016	0.0099	0.9103	Positive
Otu00080	Otu00016	0.0099	0.9121	Positive
Otu00086	Otu00016	0.0099	-0.5417	Negative
Otu00087	Otu00016	0.0099	0.8582	Positive
Otu00096	Otu00016	0.0099	0.9004	Positive
Otu00098	Otu00016	0.0099	0.9088	Positive
Otu00099	Otu00016	0.0099	0.9178	Positive
Otu00025	Otu00017	0.0099	0.8805	Positive
Otu00027	Otu00017	0.0099	0.6127	Positive
Otu00066	Otu00017	0.0099	0.7859	Positive
Otu00116	Otu00017	0.0099	0.5848	Positive
Otu00019	Otu00018	0.0099	-0.6709	Negative
Otu00020	Otu00018	0.0099	0.8713	Positive
Otu00021	Otu00018	0.0099	-0.6904	Negative
Otu00032	Otu00018	0.0099	-0.7621	Negative
Otu00033	Otu00018	0.0099	-0.7123	Negative
Otu00034	Otu00018	0.0099	0.7004	Positive
Otu00035	Otu00018	0.0099	0.7368	Positive
Otu00036	Otu00018	0.0099	-0.7079	Negative
Otu00037	Otu00018	0.0099	-0.6995	Negative
Otu00038	Otu00018	0.0099	-0.7526	Negative
Otu00041	Otu00018	0.0099	-0.6892	Negative
Otu00042	Otu00018	0.0099	-0.6701	Negative
Otu00043	Otu00018	0.0099	-0.6471	Negative
Otu00047	Otu00018	0.0099	-0.6624	Negative
Otu00049	Otu00018	0.0099	-0.7074	Negative
Otu00050	Otu00018	0.0099	-0.6789	Negative
Otu00052	Otu00018	0.0099	-0.6417	Negative
Otu00053	Otu00018	0.0099	-0.6289	Negative
Otu00054	Otu00018	0.0099	-0.6646	Negative
Otu00055	Otu00018	0.0099	-0.7302	Negative
Otu00056	Otu00018	0.0099	0.865	Positive
Otu00057	Otu00018	0.0099	0.8701	Positive
Otu00059	Otu00018	0.0099	0.7634	Positive
Otu00061	Otu00018	0.0099	-0.6813	Negative
Otu00062	Otu00018	0.0099	0.8607	Positive
Otu00063	Otu00018	0.0099	0.8717	Positive
Otu00068	Otu00018	0.0099	-0.673	Negative
Otu00072	Otu00018	0.0099	-0.681	Negative
Otu00073	Otu00018	0.0099	-0.6169	Negative
Otu00075	Otu00018	0.0099	0.8664	Positive
Otu00077	Otu00018	0.0099	-0.6699	Negative
Otu00078	Otu00018	0.0099	-0.6729	Negative
Otu00080	Otu00018	0.0099	0.8633	Positive
Otu00087	Otu00018	0.0099	0.7145	Positive
Otu00091	Otu00018	0.0099	-0.6617	Negative
Otu00093	Otu00018	0.0099	-0.6113	Negative
Otu00095	Otu00018	0.0099	-0.5738	Negative
Otu00096	Otu00018	0.0099	0.8695	Positive
Otu00098	Otu00018	0.0099	0.8677	Positive
Otu00099	Otu00018	0.0099	0.8607	Positive
Otu00103	Otu00018	0.0099	-0.6558	Negative
Otu00109	Otu00018	0.0099	-0.5673	Negative
Otu00114	Otu00018	0.0099	-0.6123	Negative
Otu00117	Otu00018	0.0099	-0.6015	Negative
Otu00122	Otu00018	0.0099	-0.6022	Negative
Otu00127	Otu00018	0.0099	-0.6062	Negative
Otu00130	Otu00018	0.0099	-0.5522	Negative
Otu00021	Otu00019	0.0099	0.8024	Positive
Otu00022	Otu00019	0.0099	-0.674	Negative
Otu00028	Otu00019	0.0099	0.7584	Positive
Otu00033	Otu00019	0.0099	0.7273	Positive
Otu00034	Otu00019	0.0099	-0.8133	Negative
Otu00035	Otu00019	0.0099	-0.8184	Negative
Otu00039	Otu00019	0.0099	-0.6976	Negative
Otu00045	Otu00019	0.0099	0.699	Positive
