#OTU ID	B5.145	B5.146	B5.147	B5.148	B5.149	B5.150	B5.151	B5.152	B5.153	B5.154	B5.155	B5.156
Otu00001	0	0	0	0	0	0	0	0	0	11464	23160	25832
Otu00002	26	3	7	0	0	0	13528	18046	14745	0	0	0
Otu00003	0	2	2	1	0	0	2774	3366	2806	772	1638	1971
Otu00004	601	680	2665	23	34	24	2	8	16	487	1194	1421
Otu00005	0	0	0	0	0	0	0	0	0	1332	2796	3024
Otu00006	393	4916	1391	0	0	0	0	0	0	0	0	0
Otu00007	0	1	0	0	0	0	1220	3313	865	0	0	0
Otu00008	2	0	0	0	0	0	1317	1682	2021	0	0	0
Otu00009	0	0	1	0	0	0	955	2206	1781	0	0	0
Otu00010	0	0	0	0	0	0	0	0	0	585	1740	1983
Otu00011	1515	1088	845	2	1	0	1	359	2	2	1	2
Otu00012	0	0	0	0	1	1	0	0	0	491	1035	1197
Otu00013	0	0	0	0	0	0	0	0	0	481	1034	1207
Otu00014	648	786	1027	42	37	43	0	0	0	0	0	0
Otu00015	487	413	1245	0	0	0	0	0	0	0	3	2
Otu00016	0	2	0	0	0	0	747	615	639	0	0	0
Otu00017	177	187	617	45	111	53	0	2	3	92	205	233
Otu00018	0	1	0	0	0	0	303	515	726	7	12	25
Otu00019	0	5	2	521	492	496	0	1	2	0	0	0
Otu00020	0	0	0	0	0	0	389	554	488	0	0	0
Otu00021	0	2	0	457	451	406	0	0	1	0	0	0
Otu00022	0	0	0	0	0	0	0	0	0	190	495	550
Otu00024	1	0	0	422	383	348	0	0	3	0	0	0
Otu00025	180	213	591	0	2	7	0	2	0	17	45	44
Otu00026	0	0	0	347	320	303	0	0	0	0	0	0
Otu00027	81	142	670	8	11	9	1	0	0	0	0	0
Otu00028	0	0	1	308	301	288	0	0	2	0	0	0
Otu00031	0	0	0	279	358	250	0	1	0	0	0	0
Otu00032	1	2	0	298	273	288	0	0	0	0	0	0
Otu00033	0	1	0	287	339	233	0	0	0	0	0	0
Otu00034	21	27	21	68	63	48	34	99	30	246	73	65
Otu00035	20	23	36	70	58	57	43	127	36	204	56	59
Otu00036	0	0	0	279	251	246	0	0	0	0	0	0
Otu00037	0	0	0	283	255	230	0	0	0	0	0	0
Otu00038	7	0	0	279	270	210	0	0	0	0	0	0
Otu00039	0	0	0	0	0	0	0	0	0	124	261	347
Otu00040	173	215	327	3	0	2	0	1	0	0	2	3
Otu00041	0	1	0	221	240	253	0	0	0	0	0	0
Otu00042	4	0	0	231	310	160	1	1	0	0	0	0
Otu00043	0	0	0	229	232	194	0	0	0	0	0	0
Otu00044	0	0	0	0	0	0	0	0	0	100	257	297
Otu00045	0	0	0	248	201	201	0	1	2	0	0	0
Otu00046	0	0	0	233	229	189	0	0	0	0	0	0
Otu00047	0	0	0	236	231	178	0	0	0	0	0	0
Otu00048	0	0	0	180	242	201	0	0	0	0	0	0
Otu00049	1	0	0	206	219	181	0	0	0	0	0	0
Otu00050	0	0	0	227	186	182	0	0	0	0	0	0
Otu00052	0	0	0	210	189	185	0	1	0	0	0	0
Otu00053	0	0	0	198	220	165	0	0	0	0	0	0
Otu00054	4	1	0	181	210	183	0	0	1	0	0	0
Otu00055	0	0	2	210	182	180	0	0	0	0	0	0
Otu00056	0	0	0	0	0	0	183	213	164	0	0	0
Otu00057	0	0	0	0	0	0	151	228	179	0	0	0
Otu00058	0	0	0	196	179	179	0	0	0	0	0	0
Otu00059	16	16	18	36	53	40	28	74	32	139	48	43
Otu00061	0	0	0	162	190	170	0	0	0	0	0	0
Otu00062	0	0	0	0	0	0	155	199	159	0	0	0
Otu00063	0	0	0	0	0	0	113	229	170	0	0	0
Otu00064	0	0	0	169	185	152	0	0	0	0	0	0
Otu00065	0	0	0	195	108	177	0	0	0	0	0	0
Otu00066	153	153	145	0	0	0	0	1	6	4	9	9
Otu00067	0	0	0	162	192	123	0	0	0	0	0	0
Otu00068	0	0	0	160	157	159	0	0	0	0	0	0
Otu00069	0	0	0	163	162	145	0	0	0	0	0	0
Otu00070	0	0	0	176	141	136	0	1	0	0	0	0
Otu00072	0	0	3	180	135	134	0	0	0	0	0	0
Otu00073	0	0	0	128	177	144	0	0	0	0	0	0
Otu00074	0	0	0	151	157	138	0	0	0	0	0	0
Otu00075	0	0	0	0	0	0	141	178	119	0	0	0
Otu00077	0	0	0	129	140	138	0	0	0	0	0	0
Otu00078	0	1	0	128	139	122	0	0	0	0	0	0
Otu00079	0	0	0	0	0	0	0	0	0	53	167	166
Otu00080	0	0	0	0	0	0	156	144	77	0	0	0
Otu00081	0	0	0	92	145	128	0	0	1	0	0	0
Otu00082	3	0	0	129	115	105	0	0	1	0	0	0
Otu00083	78	87	178	0	0	0	0	0	1	0	0	0
Otu00084	0	0	0	130	117	91	0	0	0	0	0	0
Otu00085	0	1	0	104	128	80	2	6	1	0	0	0
Otu00086	0	0	0	108	124	90	0	0	0	0	0	0
Otu00087	0	0	0	10	7	11	93	144	57	0	0	0
Otu00089	0	0	0	102	113	97	0	0	0	0	0	0
Otu00090	0	0	0	83	109	119	0	0	0	0	0	0
Otu00091	0	1	0	96	132	82	0	0	0	0	0	0
Otu00092	0	0	0	98	104	103	0	0	0	0	0	0
Otu00093	0	0	0	113	90	101	0	0	0	0	0	0
Otu00094	0	0	0	142	90	69	0	0	0	0	0	0
Otu00095	0	0	0	93	113	86	0	0	1	0	0	0
Otu00096	0	0	0	0	0	0	70	101	119	0	0	0
Otu00097	0	0	0	87	123	79	0	0	0	0	0	0
Otu00098	0	0	0	0	0	0	86	125	77	0	0	0
