"name"	"AverageShortestPathLength"	"BetweennessCentrality"	"ClosenessCentrality"	"ClusteringCoefficient"	"Degree"	"Eccentricity"	"IsSingleNode"	"NeighborhoodConnectivity"	"NumberOfDirectedEdges"	"NumberOfUndirectedEdges"	"PartnerOfMultiEdgedNodePairs"	"Radiality"	"selected"	"SelfLoops"	"shared.name"	"Stress"	"TopologicalCoefficient"	"hub"	"Genus"	"otu_Genus"
"1"	"Otu00001"	2.0650406504065	0.00384537236133783	0.484251968503937	0.761904761904762	15	3	"false"	23.5333333333333	0	15	0	0.983358739837398	"false"	0	"Otu00001"	1252	0.235333333333333	"no"	"g__Acetobacter"	"Otu00001_g__Acetobacter"
"2"	"Otu00002"	2.42276422764228	3.92679720948413e-05	0.412751677852349	0.975	16	5	"false"	22.4375	0	16	0	0.977769308943089	"false"	0	"Otu00002"	14	0.334888059701493	"no"	"g__Lactobacillus"	"Otu00002_g__Lactobacillus"
"3"	"Otu00003"	1.77235772357724	0.0418372707228393	0.564220183486238	0.287449392712551	39	4	"false"	25.5384615384615	0	39	0	0.987931910569106	"false"	0	"Otu00003"	6746	0.226004084411164	"yes"	"f__Enterobacteriaceae_unclassified"	"Otu00003_f__Enterobacteriaceae_unclassified"
"4"	"Otu00004"	2.39024390243902	0.0273793285126263	0.418367346938776	0.340659340659341	14	4	"false"	14.5714285714286	0	14	0	0.97827743902439	"false"	0	"Otu00004"	4930	0.2265625	"no"	"g__Pseudomonas"	"Otu00004_g__Pseudomonas"
"5"	"Otu00005"	2.47967479674797	0.000248998941786219	0.40327868852459	0.924242424242424	12	4	"false"	18.25	0	12	0	0.976880081300813	"false"	0	"Otu00005"	74	0.344339622641509	"no"	"g__Acetobacter"	"Otu00005_g__Acetobacter"
"6"	"Otu00006"	3.05691056910569	0.00222857206091511	0.327127659574468	0.857142857142857	8	5	"false"	9	0	8	0	0.967860772357724	"false"	0	"Otu00006"	1158	0.529411764705882	"no"	"f__mitochondria_unclassified"	"Otu00006_f__mitochondria_unclassified"
"7"	"Otu00007"	2.31707317073171	0.000511245231709981	0.431578947368421	0.926470588235294	17	5	"false"	23.3529411764706	0	17	0	0.979420731707317	"false"	0	"Otu00007"	202	0.311372549019608	"no"	"g__Fusobacterium"	"Otu00007_g__Fusobacterium"
"8"	"Otu00008"	2.42276422764228	3.92679720948413e-05	0.412751677852349	0.975	16	5	"false"	22.4375	0	16	0	0.977769308943089	"false"	0	"Otu00008"	14	0.334888059701493	"no"	"g__Lactobacillus"	"Otu00008_g__Lactobacillus"
"9"	"Otu00009"	2.38211382113821	0.00057171416638701	0.419795221843003	0.882352941176471	17	5	"false"	22.2941176470588	0	17	0	0.978404471544715	"false"	0	"Otu00009"	118	0.314001657000828	"no"	"g__Enterococcus"	"Otu00009_g__Enterococcus"
"10"	"Otu00010"	2.08130081300813	0.00411248945225178	0.48046875	0.708333333333333	16	3	"false"	22.875	0	16	0	0.983104674796748	"false"	0	"Otu00010"	1276	0.235824742268041	"no"	"g__Wolbachia"	"Otu00010_g__Wolbachia"
"11"	"Otu00011"	3.07317073170732	0	0.325396825396825	1	6	5	"false"	10.1666666666667	0	6	0	0.967606707317073	"false"	0	"Otu00011"	0	0.598039215686274	"no"	"o__Streptophyta_unclassified"	"Otu00011_o__Streptophyta_unclassified"
"12"	"Otu00012"	2.65853658536585	0	0.376146788990826	1	11	4	"false"	17.2727272727273	0	11	0	0.974085365853659	"false"	0	"Otu00012"	0	0.466830466830467	"no"	"g__Pantoea"	"Otu00012_g__Pantoea"
"13"	"Otu00013"	2.04065040650406	0.00312634446953817	0.49003984063745	0.720588235294118	17	4	"false"	25.3529411764706	0	17	0	0.983739837398374	"false"	0	"Otu00013"	934	0.248558246828143	"no"	"g__Lactobacillus"	"Otu00013_g__Lactobacillus"
"14"	"Otu00014"	3.89430894308943	0	0.25678496868476	1	5	5	"false"	8.8	0	5	0	0.954776422764228	"false"	0	"Otu00014"	0	0.88	"no"	"f__Comamonadaceae_unclassified"	"Otu00014_f__Comamonadaceae_unclassified"
"15"	"Otu00015"	2.9349593495935	0.00464621035114656	0.340720221606648	0.711111111111111	10	4	"false"	9	0	10	0	0.969766260162602	"false"	0	"Otu00015"	2036	0.36	"no"	"g__Delftia"	"Otu00015_g__Delftia"
"16"	"Otu00016"	2.17073170731707	0.00325767433918989	0.460674157303371	0.701754385964912	19	5	"false"	24.3157894736842	0	19	0	0.981707317073171	"false"	0	"Otu00016"	662	0.267206477732794	"no"	"g__Lactobacillus"	"Otu00016_g__Lactobacillus"
"17"	"Otu00017"	2.67479674796748	0.00276716043842326	0.373860182370821	0.666666666666667	6	4	"false"	13.5	0	6	0	0.973831300813008	"false"	0	"Otu00017"	542	0.3375	"no"	"g__Pseudomonas"	"Otu00017_g__Pseudomonas"
"18"	"Otu00018"	1.66666666666667	0.0737850471718827	0.6	0.277213352685051	53	4	"false"	23.4716981132075	0	53	0	0.989583333333333	"false"	0	"Otu00018"	10000	0.209568733153639	"yes"	"g__Enterococcus"	"Otu00018_g__Enterococcus"
"19"	"Otu00019"	1.85365853658537	0.0400494729524172	0.539473684210526	0.236781609195402	30	4	"false"	21.8666666666667	0	30	0	0.986661585365854	"false"	0	"Otu00019"	4462	0.198181818181818	"no"	"g__Bacillus"	"Otu00019_g__Bacillus"
"20"	"Otu00020"	2.24390243902439	0.00115876268482417	0.445652173913043	0.856209150326797	18	5	"false"	24.1666666666667	0	18	0	0.980564024390244	"false"	0	"Otu00020"	378	0.291164658634538	"no"	"g__Clostridium"	"Otu00020_g__Clostridium"
"21"	"Otu00021"	1.82926829268293	0.0186635358295121	0.546666666666667	0.299465240641711	34	4	"false"	25.4117647058824	0	34	0	0.987042682926829	"false"	0	"Otu00021"	3056	0.228934817170111	"no"	"o__Rhizobiales_unclassified"	"Otu00021_o__Rhizobiales_unclassified"
"22"	"Otu00022"	2.30894308943089	0.000936297489553872	0.433098591549296	0.802197802197802	14	4	"false"	20.5	0	14	0	0.979547764227642	"false"	0	"Otu00022"	270	0.284722222222222	"no"	"c__Gammaproteobacteria_unclassified"	"Otu00022_c__Gammaproteobacteria_unclassified"
"23"	"Otu00024"	1.91869918699187	0.00863030449551493	0.521186440677966	0.381766381766382	27	4	"false"	27.6296296296296	0	27	0	0.985645325203252	"false"	0	"Otu00024"	1544	0.25822083766009	"no"	"g__Kaistobacter"	"Otu00024_g__Kaistobacter"
