#OTU ID	Otu00001	Otu00002	Otu00003	Otu00004	Otu00005	Otu00006	Otu00007	Otu00008	Otu00009	Otu00010	Otu00011	Otu00012	Otu00013	Otu00014	Otu00015	Otu00016	Otu00017	Otu00018	Otu00019	Otu00020	Otu00021	Otu00022	Otu00024	Otu00025	Otu00026	Otu00027	Otu00028	Otu00031	Otu00032	Otu00033	Otu00034	Otu00035	Otu00036	Otu00037	Otu00038	Otu00039	Otu00040	Otu00041	Otu00042	Otu00043	Otu00044	Otu00045	Otu00046	Otu00047	Otu00048	Otu00049	Otu00050	Otu00052	Otu00053	Otu00054	Otu00055	Otu00056	Otu00057	Otu00058	Otu00059	Otu00061	Otu00062	Otu00063	Otu00064	Otu00065	Otu00066	Otu00067	Otu00068	Otu00069	Otu00070	Otu00072	Otu00073	Otu00074	Otu00075	Otu00077	Otu00078	Otu00079	Otu00080	Otu00081	Otu00082	Otu00083	Otu00084	Otu00085	Otu00086	Otu00087	Otu00089	Otu00090	Otu00091	Otu00092	Otu00093	Otu00094	Otu00095	Otu00096	Otu00097	Otu00098	Otu00099	Otu00100	Otu00101	Otu00102	Otu00103	Otu00104	Otu00105	Otu00106	Otu00107	Otu00108	Otu00109	Otu00110	Otu00111	Otu00112	Otu00113	Otu00114	Otu00115	Otu00116	Otu00117	Otu00118	Otu00119	Otu00120	Otu00121	Otu00122	Otu00123	Otu00124	Otu00126	Otu00127	Otu00128	Otu00130	Otu00132	Otu00133	Otu00134	Otu00135
Otu00001	29.3436	-2.5274	16.5244	11.5522	23.5836	0.9953	-0.3883	-0.4202	-0.7546	21.6538	1.5372	20.3086	20.8217	-4.6450	3.8422	-0.1293	7.7610	7.7996	-6.3514	0.1474	-5.1998	19.0609	-5.0527	8.7953	-4.2676	-1.8767	-4.8137	-3.8392	-4.4022	-4.1706	5.8616	5.2755	-4.1633	-3.9900	-4.4563	17.9338	2.6600	-4.8534	-4.7281	-3.9514	17.7465	-3.6767	-3.7278	-4.1280	-3.2250	-3.6946	-3.7386	-3.7536	-3.4069	-3.6971	-3.3921	1.3392	1.1378	-4.1500	5.4509	-3.5512	0.8906	0.8890	-3.1026	-3.4686	6.9896	-3.3446	-3.5339	-2.8710	-3.3939	-4.2460	-2.8352	-3.4568	1.2329	-3.0635	-3.5465	16.3685	1.5809	-3.1695	-3.3932	1.6427	-3.2371	-3.2615	-2.4317	-2.3448	-3.5008	-2.7230	-2.9642	-2.7969	-2.9544	-2.5946	-2.9856	1.4729	-2.3944	1.2198	1.5979	-2.8865	-3.0351	-2.8797	-2.6693	-2.4644	-2.5509	-2.4941	-2.5565	-2.3587	-3.2587	14.8801	-2.5338	-2.0002	-2.4402	-2.3155	-2.8330	15.5173	-2.7632	-2.7222	-1.8813	15.2854	-2.3874	-2.0622	-2.4097	-1.9351	-2.2857	-1.9603	-2.7479	-2.6402	-2.0637	-1.9834	-2.1456	-2.7536
Otu00002	-2.5274	26.5462	15.8659	-0.4537	-1.0060	4.5916	20.5366	20.6681	20.6868	-0.9250	9.0707	-1.8716	-1.1761	-0.8162	4.8125	18.5963	-3.5380	15.8410	-4.0171	18.0468	-5.2774	0.0108	-4.1013	1.4834	-5.1558	1.2707	-3.7746	-4.5190	-5.4385	-5.6104	3.1588	3.6128	-5.3221	-5.1765	-4.7592	-0.3391	3.0624	-4.3882	-3.4490	-4.5273	0.4176	-3.3192	-4.9395	-4.9923	-4.2347	-4.6975	-4.6090	-4.1765	-4.4643	-3.9110	-4.9380	15.7239	16.0377	-4.1153	3.5953	-4.7994	15.6651	15.7002	-4.8177	-4.2156	5.2433	-4.5697	-4.5061	-4.4631	-3.2122	-3.7530	-3.7618	-4.3070	15.9952	-4.4742	-3.7476	0.7833	15.1121	-2.9927	-2.7964	5.3506	-3.6466	-0.4155	-3.9933	10.0972	-3.4987	-3.6873	-3.8236	-3.3119	-3.6804	-4.0824	-3.3472	14.3854	-3.6339	14.7713	14.3912	-3.4754	-3.4116	-3.0397	-3.5357	-3.8999	-3.6567	-3.6782	-2.7675	-3.8145	-2.9823	1.7397	-3.2536	-3.2939	-3.3649	-3.4018	-2.2419	1.1671	-2.8358	-2.8961	-3.3227	1.8091	-3.4897	-2.9423	-2.9084	-3.4130	-3.2980	-3.5187	-3.1229	-2.4791	-2.9699	-3.0057	-2.7201	-3.0303
Otu00003	16.5244	15.8659	23.5006	4.3091	13.8677	-1.0448	14.6580	14.1240	14.2457	12.5475	3.2062	11.5250	12.5588	-7.5754	1.3581	13.2094	0.0346	16.3184	-6.6421	12.9982	-6.9275	11.6871	-6.0574	3.0230	-6.1979	-3.6386	-5.4906	-5.5439	-6.4664	-6.5601	5.4431	5.3402	-6.1666	-6.0929	-7.2399	10.9051	0.6360	-5.9869	-5.7640	-5.3698	11.0911	-4.4590	-5.7342	-5.8853	-4.9016	-5.8923	-5.4955	-5.1114	-5.1301	-5.3575	-5.4808	12.0472	11.9504	-5.1833	5.3910	-5.5715	11.3961	11.2037	-5.1569	-5.0408	4.4220	-5.4904	-5.5144	-5.3635	-4.5228	-5.4924	-4.4251	-4.8693	11.9519	-5.1040	-4.9172	10.8071	11.3940	-4.2416	-4.6161	0.9712	-4.3257	-2.3111	-4.3030	6.1991	-4.3722	-4.3678	-4.7258	-4.3638	-4.5337	-3.8943	-3.8201	11.0555	-4.0588	11.0901	11.0382	-4.3766	-4.1547	-4.1049	-4.4152	-4.1150	-4.1676	-4.4196	-4.0518	-4.3770	-4.3222	10.2002	-3.7390	-3.8836	-3.8334	-4.1706	-3.3116	10.3443	-3.6260	-3.8845	-3.8293	10.1351	-3.8575	-3.7381	-3.3610	-3.7275	-3.8366	-3.6060	-3.7084	-3.2569	-3.4201	-3.4926	-3.4329	-3.7458
Otu00004	11.5522	-0.4537	4.3091	10.0661	9.7439	9.9153	-1.5308	-1.1904	-1.1425	9.1752	7.8153	7.9725	8.9156	4.8901	10.0207	-0.9541	7.5109	1.7517	-3.1596	-1.0896	-3.0437	8.1514	-3.2684	9.8501	-3.2867	5.2272	-2.8764	-3.1936	-2.3775	-2.8553	2.7758	2.5798	-2.8964	-2.9164	-2.3038	7.3716	7.8802	-2.6855	-2.6741	-2.8091	7.5630	-2.9315	-2.9016	-2.8485	-2.7398	-2.4185	-2.7754	-2.6222	-2.5280	-2.0353	-1.8091	-0.6364	-0.2677	-2.8494	2.5723	-2.6845	-0.4082	-0.5961	-2.7340	-2.4956	9.0765	-2.3283	-2.5898	-2.3020	-2.5147	-1.9812	-2.5716	-2.3890	-0.1197	-2.1477	-2.2350	7.3532	-0.4019	-2.4663	-1.9343	7.2330	-2.2705	-2.6099	-1.7438	-2.9535	-2.3340	-2.1663	-1.8293	-2.1853	-2.2596	-1.8060	-2.4322	-0.0042	-2.0033	-0.4541	0.1837	-2.4884	-2.0403	-2.1209	-1.9856	-2.0969	-1.7760	-1.7649	-2.2677	-1.8252	-1.6693	6.5447	-1.9490	-1.8017	-1.8739	-2.1379	-2.3233	7.2006	-1.8672	-1.9912	-1.3330	8.0862	-1.9529	-1.7880	-1.8143	-1.6449	-1.7003	-1.8310	-1.8325	-1.9202	-1.7533	-1.5694	-1.7619	-2.1294
Otu00005	23.5836	-1.0060	13.8677	9.7439	20.6677	0.9790	0.0172	-0.3644	-0.4688	17.9528	1.5333	16.9808	17.1858	-3.4572	3.6929	0.2236	6.4672	6.3043	-5.6333	0.4229	-4.7635	15.8712	-4.8535	7.8430	-3.6020	-1.3637	-4.2557	-3.7205	-3.9258	-3.9921	4.9022	4.3751	-3.5753	-3.5220	-4.0100	14.9305	2.6982	-3.9528	-3.9002	-3.6170	14.8007	-3.5683	-3.4543	-3.7583	-3.1809	-3.2672	-3.7157	-3.3380	-2.9303	-3.3541	-3.1349	1.4701	1.3145	-3.6746	4.5355	-3.0114	0.6355	0.6305	-2.9897	-3.3551	6.0282	-3.0383	-3.3172	-2.9249	-3.1441	-3.6591	-2.6859	-2.8266	1.0171	-2.7510	-3.5889	13.7372	1.4246	-2.8292	-3.1219	1.6628	-2.8525	-3.2467	-2.4609	-1.9099	-3.1476	-2.7328	-2.5927	-2.6944	-2.4890	-2.4151	-2.6573	1.4849	-2.3772	1.1547	1.4596	-2.6530	-2.8371	-2.6157	-2.6760	-2.4789	-2.3025	-2.1922	-2.7095	-2.3294	-2.8182	12.3910	-2.2909	-2.1122	-2.2265	-2.2445	-2.5895	12.9786	-2.4308	-2.4641	-1.6630	12.9455	-2.2436	-1.9053	-2.1520	-1.7587	-2.0987	-1.7878	-2.5351	-2.3062	-2.0116	-1.9897	-2.0882	-2.7176
Otu00006	0.9953	4.5916	-1.0448	9.9153	0.9790	19.5112	1.3476	1.2186	1.3645	1.3890	15.1436	-0.0366	1.0289	12.3126	16.1882	1.9126	7.4765	0.4120	-1.6024	1.1939	-2.5428	1.6484	-3.1527	11.7482	-3.5310	11.2614	-2.5895	-3.1401	-1.3675	-2.0767	1.9311	1.9798	-2.5308	-3.2794	-1.2959	1.3467	13.0052	-2.2539	-1.7669	-2.3266	1.4350	-2.8692	-2.9203	-2.3319	-2.7410	-2.4028	-2.2855	-2.5855	-2.8147	-1.4302	-1.7140	0.7895	1.2117	-3.0311	1.6275	-2.5914	1.3484	1.5288	-3.2549	-2.5423	12.4505	-2.4112	-2.4753	-2.0106	-2.1809	-1.2892	-3.0165	-2.5561	1.9801	-2.0581	-1.4452	2.2258	1.2640	-2.6521	-1.6058	12.9483	-2.0382	-1.9069	-1.6422	-1.6555	-1.9043	-2.2983	-1.3896	-2.1046	-2.5406	-2.3000	-2.4691	1.0496	-1.8098	1.5369	1.5692	-2.1786	-1.5347	-1.8092	-1.7445	-2.2940	-1.9050	-1.5358	-1.6808	-1.6004	-1.2832	1.8701	-1.9302	-1.7634	-1.7703	-1.8242	-2.0741	2.3676	-1.6101	-1.8410	-1.4642	4.1947	-2.1199	-1.6906	-1.9389	-1.5083	-1.7383	-1.8145	-2.2129	-1.9292	-1.7406	-0.9599	-1.7494	-2.0104
Otu00007	-0.3883	20.5366	14.6580	-1.5308	0.0172	1.3476	18.1599	16.9974	17.0014	0.1235	5.5528	-0.3499	0.8116	-3.3033	1.8594	15.2909	-3.9431	13.8568	-3.3468	14.8986	-4.0329	0.8498	-3.4663	-0.0631	-3.9393	-0.6364	-3.3396	-3.4008	-4.3010	-4.3817	2.7105	3.0274	-4.4201	-4.3709	-4.3694	0.9719	0.8783	-3.7051	-3.0648	-3.4403	0.8563	-2.7180	-3.8836	-3.9497	-3.1534	-3.9763	-3.6554	-3.3128	-3.5513	-3.2103	-4.1128	13.2241	13.2991	-3.5141	2.9274	-3.7948	12.9806	13.0519	-3.5461	-3.3842	2.4921	-3.7594	-3.7815	-3.8859	-2.5796	-3.2925	-2.8870	-3.5343	13.2386	-3.7296	-3.0473	1.5644	12.5972	-2.5310	-2.6716	2.7852	-2.6950	-0.2975	-3.2983	8.6566	-2.6630	-2.8756	-3.0635	-2.7693	-3.2010	-3.2626	-2.7885	11.8692	-2.8584	12.1628	11.9859	-2.7470	-2.5625	-2.4684	-3.1952	-3.3018	-3.1645	-2.9047	-2.1177	-3.1167	-2.5372	2.0789	-2.5481	-2.8442	-2.5871	-3.1791	-1.9668	1.3585	-2.6131	-2.3057	-2.8686	1.5083	-2.9474	-2.4233	-2.4371	-2.6537	-2.4758	-2.5362	-2.4059	-2.1063	-2.6965	-2.4307	-2.5088	-2.4909
Otu00008	-0.4202	20.6681	14.1240	-1.1904	-0.3644	1.2186	16.9974	17.8603	17.0398	-0.0235	5.4051	-0.4805	0.4098	-2.6068	1.5884	15.2340	-3.7306	13.4138	-3.0958	15.0196	-4.0956	0.6195	-3.3015	-0.4621	-4.0036	-0.6364	-3.0016	-3.3740	-4.4142	-4.4055	2.6150	2.9482	-4.0991	-4.0978	-4.1685	0.3034	0.7906	-3.7665	-2.7654	-3.6283	0.6758	-2.7153	-4.0089	-3.9368	-3.2175	-3.6549	-3.4832	-3.4416	-3.5918	-2.9507	-3.9374	13.1612	13.0900	-3.1385	2.9555	-3.7313	13.0028	12.8272	-3.4256	-3.4743	2.7518	-3.6244	-3.4833	-3.5826	-2.3849	-3.0132	-2.7524	-3.3845	13.0838	-3.5331	-3.0294	1.4106	12.4736	-2.3831	-2.3689	2.6864	-2.8103	-0.2183	-3.1652	8.6851	-2.7491	-2.7066	-3.1484	-2.7764	-3.0379	-3.0665	-2.5356	11.8853	-2.9076	12.0206	11.9812	-2.6565	-2.7256	-2.2249	-2.7225	-2.8638	-2.9419	-2.9019	-2.2294	-3.2100	-2.2507	1.4963	-2.4113	-2.5618	-2.7320	-2.7450	-1.7685	1.3357	-2.5049	-2.3713	-2.5155	1.2085	-2.9614	-2.3336	-2.3635	-2.8431	-2.6728	-2.5035	-2.3797	-2.0170	-2.4172	-2.3312	-2.0080	-2.1888
Otu00009	-0.7546	20.6868	14.2457	-1.1425	-0.4688	1.3645	17.0014	17.0398	18.0533	0.0296	5.8249	-0.4285	0.3665	-3.0286	1.8447	15.2580	-3.8057	13.5600	-3.3718	15.0915	-4.3375	0.4514	-3.3933	-0.1799	-3.9420	-0.3049	-3.1442	-3.3639	-4.3926	-4.5166	2.5960	3.0119	-4.1768	-4.0965	-4.3007	0.5384	0.8081	-3.6585	-2.9720	-3.8060	0.5508	-2.4303	-3.8561	-3.5842	-3.0653	-3.8540	-3.5643	-3.3477	-3.4521	-3.1490	-3.9695	13.0642	13.2260	-3.2751	3.0463	-3.8000	12.8703	12.9907	-3.5539	-3.6678	2.8805	-3.6679	-3.4077	-3.7256	-2.6071	-3.1347	-2.9352	-3.3012	13.0366	-3.5991	-3.2198	1.2472	12.5079	-2.3491	-2.5869	2.7030	-2.9733	-0.3572	-3.1211	8.6369	-2.6611	-2.8441	-3.1854	-2.6954	-2.9630	-3.1317	-2.5701	11.7853	-2.9266	12.0361	12.0015	-2.7873	-2.6702	-2.3643	-3.1963	-3.1349	-3.0815	-3.1231	-1.9535	-3.0476	-2.3023	1.5513	-2.3872	-2.8212	-2.7300	-2.9551	-1.8486	1.0544	-2.3080	-2.1109	-2.6471	1.2088	-2.7915	-2.3861	-2.4057	-2.7374	-2.7546	-2.3479	-2.4566	-2.1141	-2.3574	-2.4763	-2.2885	-2.4472
Otu00010	21.6538	-0.9250	12.5475	9.1752	17.9528	1.3890	0.1235	-0.0235	0.0296	17.5869	1.4787	15.5828	15.8301	-3.3299	3.6182	0.3641	5.8962	5.9344	-5.1804	0.2520	-4.2357	14.6532	-4.2875	6.9711	-3.3782	-1.5357	-3.9559	-3.4872	-3.3764	-3.8866	4.4947	4.0363	-3.2304	-3.2367	-3.4840	13.5905	2.7071	-3.7475	-3.7167	-3.2234	13.5061	-3.3087	-3.3926	-3.3153	-2.9834	-3.0073	-3.2935	-3.2786	-2.9123	-2.8068	-2.8311	0.8423	1.1506	-3.4128	4.1586	-3.0212	1.0300	0.7573	-2.6253	-2.9439	5.5236	-2.9519	-3.0729	-2.7480	-2.7207	-3.6563	-2.5390	-2.8379	1.2253	-2.6203	-2.8884	12.6381	1.1321	-2.5701	-2.8483	1.3998	-2.5836	-2.6776	-1.9842	-1.6259	-2.8035	-2.4958	-2.3296	-2.3991	-2.4535	-2.2060	-2.2376	1.5943	-2.1157	1.0322	1.4354	-2.3594	-2.3272	-2.5226	-2.3330	-2.1667	-1.9191	-1.9636	-2.5050	-1.9788	-2.6577	11.5895	-2.0386	-1.8316	-2.3025	-2.0062	-2.4342	12.0151	-2.2270	-2.3399	-1.6493	11.7992	-2.2235	-2.0177	-1.8539	-1.7244	-2.0118	-1.5279	-2.4075	-1.8897	-1.8211	-1.8976	-1.8128	-2.3897
